facet_id,raw_name,clean_name,category,description,score_1_anchor,score_5_anchor
1,Risktaking,Risktaking,safety,Evaluate the degree to which 'Risktaking' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,No safety concerns,Severe safety concerns present
2,Naivety,Naivety,personality,Evaluate the degree to which 'Naivety' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
3,Acidity,Acidity,personality,Evaluate the degree to which 'Acidity' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
4,Democratic Leadership:,Democratic Leadership,social,Evaluate the degree to which 'Democratic Leadership' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,No social engagement,Highly collaborative/social
5,Common-sense,Common-sense,pragmatics,Evaluate the degree to which 'Common-sense' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Poor pragmatic quality,Excellent pragmatic quality
6,Hesitation,Hesitation,personality,Evaluate the degree to which 'Hesitation' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
7,Discontentment,Discontentment,emotion,Evaluate the degree to which 'Discontentment' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,No emotional expression detected,Dominant emotional expression throughout
8,Overprotectiveness,Overprotectiveness,personality,Evaluate the degree to which 'Overprotectiveness' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
9,Merriness,Merriness,emotion,Evaluate the degree to which 'Merriness' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,No emotional expression detected,Dominant emotional expression throughout
10,Emotionalism,Emotionalism,emotion,Evaluate the degree to which 'Emotionalism' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,No emotional expression detected,Dominant emotional expression throughout
11,Self-improvement,Self-improvement,self_and_identity,Evaluate the degree to which 'Self-improvement' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Not exhibited,Strongly exhibited
